Options,Default,Description
outputFormat,paraview,"""paraview"" or ""tecplot"""
animationFrequency,-1,Frequency at which slice output is saved. -1 is at end of simulation
primitiveVars,true,"Outputs rho, u, v, w, p"
vorticity,false,Vorticity
residualNavierStokes,false,Residual components for Navier-stokes equations
residualTurbulence,false,Residual magnitude of turbulence equations
T,false,Temperature
s,false,Entropy
Cp,false,Coefficient of pressure
mut,false,Turbulent viscosity
mutRatio,false,mut/mu_inf
Mach,true,Mach number
gradW,false,gradient of W
slices,[],List of slices to save after the solver has finished
